"index","attendance","hours_studied","sleep_hours","tutoring_sessions","exam_rank"
"0","98","27","6","5","1"
"1","89","18","4","3","2"
"2","90","14","8","4","3"
"3","83","23","4","1","3"
"4","83","16","8","2","4"
"5","96","28","4","1","4"
"6","90","28","9","0","4"
"7","74","21","6","1","5"
"8","99","25","7","0","5"
"9","83","15","7","2","5"
"10","93","18","7","2","6"
"11","67","21","6","1","7"
"12","90","18","6","1","7"
"13","76","29","8","2","8"
"14","96","24","6","2","8"
"15","98","25","7","1","8"
"16","90","19","5","0","8"
"17","69","26","7","0","9"
"18","73","25","7","2","9"
"19","69","31","7","2","10"
"20","88","1","4","3","10"
"21","70","21","9","1","11"
"22","92","21","9","2","12"
"23","77","14","6","1","12"
"24","70","19","7","0","12"
"25","62","11","7","3","13"
"26","86","18","8","2","13"
"27","98","30","9","1","13"
"28","69","7","8","1","14"
"29","71","11","8","1","14"
