"index","category_code","category"
"0","CAT1","Agriculture"
"1","CAT2","Aviation & Transport"
"2","CAT3","Banking & Finance"
"3","CAT4","Cafés, Restaurants & Bars"
"4","CAT5","Conglomerate"
"5","CAT6","Construction"
"6","CAT7","Consumer Goods"
"7","CAT8","Defense"
"8","CAT9","Distillers, Vintners, & Breweries"
"9","CAT10","Energy"
"10","CAT11","Food & Beverages"
"11","CAT12","Manufacturing & Production"
"12","CAT13","Media"
"13","CAT14","Medical"
"14","CAT15","Mining"
"15","CAT16","Postal Service"
"16","CAT17","Retail"
"17","CAT18","Telecommunications"
"18","CAT19","Tourism & Hotels"
