"index","continent","category","year_founded"
"0","South America","Defense","1811"
"1","North America","Banking & Finance","1891"
"2","Asia","Agriculture","1930"
"3","North America","Manufacturing & Production","1534"
"4","Africa","Aviation & Transport","1854"
"5","North America","Food & Beverages","1920"
"6","Asia","Mining","1913"
"7","Asia","Cafés, Restaurants & Bars","1153"
"8","North America","Distillers, Vintners, & Breweries","1703"
"9","North America","Media","1909"
"10","Asia","Food & Beverages","1820"
"11","Oceania","Postal Service","1809"
"12","Africa","Agriculture","1947"
"13","South America","Food & Beverages","1660"
"14","South America","Banking & Finance","1565"
"15","Europe","Banking & Finance","1606"
"16","Europe","Agriculture","1218"
"17","Asia","Manufacturing & Production","1736"
"18","Africa","Energy","1968"
"19","Africa","Mining","1962"
"20","Europe","Tourism & Hotels","1230"
"21","Europe","Medical","1422"
"22","Asia","Media","1931"
"23","Africa","Postal Service","1772"
"24","Asia","Conglomerate","1841"
"25","Europe","Defense","1878"
"26","North America","Aviation & Transport","1870"
"27","Asia","Telecommunications","1885"
"28","Europe","Mining","1248"
"29","Asia","Defense","1808"
"30","Asia","Energy","1928"
"31","North America","Tourism & Hotels","1770"
"32","Africa","Banking & Finance","1892"
"33","Asia","Distillers, Vintners, & Breweries","1853"
"34","Asia","Aviation & Transport","1858"
"35","North America","Agriculture","1638"
"36","Europe","Cafés, Restaurants & Bars","803"
"37","Europe","Telecommunications","1912"
"38","Europe","Consumer Goods","1649"
"39","Asia","Tourism & Hotels","1584"
"40","Africa","Distillers, Vintners, & Breweries","1933"
"41","Europe","Postal Service","1520"
"42","Asia","Postal Service","1800"
"43","Africa","Media","1943"
"44","Asia","Banking & Finance","1830"
"45","Europe","Media","1999"
"46","Oceania","Banking & Finance","1861"
"47","Africa","Manufacturing & Production","1820"
"48","Europe","Distillers, Vintners, & Breweries","862"
"49","Asia","Retail","1883"
"50","North America","Retail","1670"
"51","Africa","Food & Beverages","1878"
"52","Europe","Manufacturing & Production","864"
"53","South America","Cafés, Restaurants & Bars","1877"
"54","South America","Manufacturing & Production","1621"
"55","Asia","Construction","578"
